,title,address,unit_type,price,bedrooms,bathrooms,apartment_lat,apartment_lon,hydro_included,heat_included,water_included,laundry_included,backyard_included,parking_included,gym_included,sqft,furnished,air_conditioning,walk_score,transit_score,bike_score,img_1,"img_2""",img_3
0,"
                            Beautiful 2 bedroom apartment for rent; You will love it !!
                        ","429 Austen Ct, Oshawa, ON L1H 6K7, Canada",Apartment,1450.0,2,1,43.8918359,-78.8342164,0.0,0.0,0.0,1.0,1.0,0,0.0,1,0.0,0.0,13,40,32,,,
1,"
                            Nice Second Floor One Bed Room Apartment
                        ","385 Albion Rd, Etobicoke, ON M9W 3P4, Canada",Apartment,1480.0,1,1,43.7256315,-79.5515348,0.0,1.0,1.0,0.0,0.0,1,0.0,600,0.0,1.0,35,64,58,https://i.ebayimg.com/00/s/ODAwWDgwMA==/z/wAsAAOSwcQRfDSHp/$_27.JPG,https://i.ebayimg.com/00/s/ODAwWDgwMA==/z/qHAAAOSwwpZfDSHx/$_2.JPG,https://i.ebayimg.com/00/s/ODAwWDgwMA==/z/zIgAAOSw-StfDSH-/$_2.JPG
2,"
                            1 BEDROOM APT IN 6 PLEX BLDG AT BROWNSLINE/LAKESHORE
                        ","Woodbury Rd, Etobicoke, ON M8W 1X8, Canada",Apartment,1590.0,1,1,43.5985101,-79.547258,0.0,1.0,1.0,1.0,1.0,1,0.0,350,1.0,0.0,62,65,58,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/j40AAOSwEZdfDR4R/$_27.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/wKgAAOSw~8FfDR4v/$_2.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/4XMAAOSw1b5fDR48/$_2.JPG
3,"
                            TO SHARE 2 BDRM AS OF AUGUST 30 OR SEPTEMBER 1, 2020.
                        ",", Toronto M4V 2B9 ON, Canada",Apartment,980.0,2,1,43.6958631,-79.3981142,1.0,1.0,1.0,1.0,1.0,0,0.0,780,1.0,0.0,74,81,78,https://i.ebayimg.com/00/s/NDUwWDgwMA==/z/2b0AAOSwq05dQ1V9/$_27.JPG,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/te4AAOSwotNdQ1WH/$_2.JPG,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/bTMAAOSwgS9dQ1WU/$_2.JPG
4,"
                            1 BEDROOM APT (BASEMENT) IN 6 PLEX BLDG AT BROWNSLINE/LAKESHORE
                        ","Woodbury Rd, Etobicoke, ON M8W 1X8, Canada",Apartment,1490.0,1,1,43.5985101,-79.547258,0.0,1.0,1.0,1.0,1.0,1,0.0,350,1.0,0.0,62,65,58,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/uUUAAOSwENFfDRq5/$_27.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/1mIAAOSweWdfDRrB/$_2.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/NhwAAOSwzLFfDRrO/$_2.JPG
5,"
                            3 Bed2Bath Condo for Rent 3420 Eglinton E Markham Rd/Eglinton
                        ","3420 Eglinton Ave E, Scarborough, ON M1J 2H9, Canada",Apartment,2200.0,3,2,43.7454751,-79.2122464,0.0,1.0,1.0,1.0,1.0,1,0.0,"1,300",0.0,0.0,56,67,51,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/vV0AAOSwuLtfDRts/$_27.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/eLYAAOSwLfBfDRtv/$_2.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/ApcAAOSw-VBfDRtx/$_2.JPG
6,"
                            Fully Furnished Bachelor Unit For Sublease - Avenue & St. Clair
                        ","Warren Rd, Toronto, ON M4V, Canada",Apartment,1450.0,Bachelor/Studio,1,43.68538119999999,-79.4067963,0.0,1.0,1.0,1.0,1.0,0,0.0,400,1.0,1.0,72,84,62,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/yCYAAOSwxYtfDRm7/$_27.JPG,https://i.ebayimg.com/00/s/Mzg5WDgwMA==/z/TTgAAOSwAlVfDRmo/$_2.JPG,https://i.ebayimg.com/00/s/Mzg5WDgwMA==/z/XLUAAOSwb3FfDRmr/$_2.JPG
7,"
                            Brand new renovated unit available for rent now(Brock & Queen)
                        ","68 Brock Ave, Toronto, ON M6K 2L4, Canada",Apartment,1350.0,1,1,43.64399969999999,-79.43361,1.0,1.0,1.0,1.0,0.0,0,0.0,350,1.0,1.0,87,87,60,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/dmUAAOSwD6lfDRU2/$_27.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/GxQAAOSwpstfDRU5/$_2.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/S7kAAOSw2i1fDRU8/$_2.JPG
8,"
                            INDX - 70 Temperance Street Luxury 2 Bedroom  Bay/Adelaide
                        ","70 Temperance Street, Downtown Toronto Financial District M5H 4E8 ON",Apartment,2300.0,2,1,43.6505301,-79.3821482,0.0,1.0,1.0,1.0,1.0,0,1.0,649,0.0,1.0,98,10,90,https://i.ebayimg.com/00/s/NjIyWDgwMA==/z/ylwAAOSwmExe2Y9S/$_27.JPG,https://i.ebayimg.com/00/s/NTMxWDgwMA==/z/SgwAAOSwjgFe2Y9e/$_2.JPG,https://i.ebayimg.com/00/s/NjQwWDM4OA==/z/LV0AAOSwzode2Y9h/$_2.JPG
9,"
                            1 BEDROOM MAIN FLOOR, LARGE LIVING ROOM, 3 CLOSETS, LAUNDRY, PAR
                        ","10 Mt Royal Ave, Toronto, ON M6H 2S3, Canada",Apartment,1720.0,1,1,43.6749959,-79.43300169999999,1.0,1.0,1.0,1.0,0.0,0,0.0,600,0.0,0.0,60,78,62,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/QrUAAOSwrx5fDQ~Y/$_27.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/m0IAAOSwgw9fDQ~b/$_2.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/aZgAAOSwLtdfDQ~e/$_2.JPG
