,title,address,unit_type,price,bedrooms,bathrooms,apartment_lat,apartment_lon,hydro_included,heat_included,water_included,laundry_included,backyard_included,parking_included,gym_included,sqft,furnished,air_conditioning,walk_score,transit_score,bike_score,img_1,"img_2""",img_3
0,"
                            1 BEDROOM APT (BASEMENT) IN 6 PLEX BLDG AT BROWNSLINE/LAKESHORE
                        ","Woodbury Rd, Etobicoke, ON M8W 1X8, Canada",Apartment,1590.0,1,1,43.5985101,-79.547258,0.0,1.0,1.0,1.0,1.0,1,0.0,350,1.0,0.0,62,65,58,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/Af0AAOSwbZxfDcWE/$_27.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/ikMAAOSwtEBfDcWI/$_2.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/kDUAAOSwGhpfDcWe/$_2.JPG
1,"
                            Lge Bright 2Bdrm w/New Kitchen Hardwood Fl@Baseline
                        ",", Scarborough M1K 2C3 ON, Canada",Apartment,1900.0,2,1,43.7287571,-79.2660813,1.0,1.0,1.0,1.0,1.0,0,0.0,800,0.0,0.0,60,97,56,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/Uk8AAOSwl-VfDcV2/$_27.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/nYAAAOSw90pfDcWH/$_2.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/yCEAAOSwABNfDcWX/$_2.JPG
2,"
                            2 Bedroom Basement Apartment Pharmacy and Lawrence
                        ","Courton Dr, Scarborough, ON M1R 1K8, Canada",Basement,1595.0,2,1,43.7413783,-79.3015629,0.0,0.0,0.0,1.0,0.0,0,0.0,"1,000",0.0,1.0,69,66,54,https://i.ebayimg.com/00/s/NTk1WDgwMA==/z/gIYAAOSwF41fDcV8/$_27.JPG,https://i.ebayimg.com/00/s/NTk5WDgwMA==/z/H5cAAOSwZ9ZfDcWB/$_2.JPG,https://i.ebayimg.com/00/s/NTkzWDgwMA==/z/jg4AAOSwwR9fDcWE/$_2.JPG
3,"
                            Bright Big Bachelor Apt (Sheppard & Bathurst)
                        ","Sheppard Ave W, North York, ON M3H 2S5, Canada",Apartment,1100.0,1,1,43.75482179999999,-79.4425267,1.0,1.0,1.0,1.0,0.0,0,0.0,280,0.0,1.0,52,59,54,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/M-QAAOSwJPhfDcTk/$_27.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/oMgAAOSwmjFfDcTp/$_2.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/dR4AAOSw9qtfDcTt/$_2.JPG
4,"
                            Renting the reom
                        ","470 Sentinel Rd, North York, ON M3J 1V6, Canada",Condo,380.0,3,15,43.76307,-79.50195,0.0,0.0,0.0,1.0,1.0,0,0.0,"2,000",0.0,0.0,73,78,74,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/PEEAAOSwZutfDcTT/$_27.PNG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/DfcAAOSwCNNfDcTU/$_2.PNG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/Bm8AAOSwriBfDcTW/$_2.PNG
5,"
                            1 BEDROOM BASEMENT APT. IN BATHURST MANOR
                        ","2 Hove St, North York, ON M3H 4Y7, Canada",Basement,1190.0,1,1,43.7553907,-79.4419218,0.0,0.0,0.0,1.0,1.0,1,0.0,700,0.0,1.0,53,59,55,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/ePkAAOSwluxfDcLS/$_27.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/UmMAAOSw1ixfDcLh/$_2.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/tvEAAOSwsh1fDcMl/$_2.JPG
6,"
                            3 bed all-inclusive gorgeous High Park Roncesvalles
                        ","14 High Park Blvd, Toronto, ON M6R 1M4, Canada",Apartment,3600.0,3,1,43.646264,-79.45078459999999,1.0,1.0,1.0,1.0,0.0,0,0.0,"1,000",0.0,0.0,89,91,88,https://i.ebayimg.com/00/s/MzIwWDI0MA==/z/eD8AAOSwWzxfDcLk/$_27.JPG,https://i.ebayimg.com/00/s/MzIwWDMxMQ==/z/GFQAAOSwTwFfDcJS/$_2.JPG,https://i.ebayimg.com/00/s/MzIwWDI0MA==/z/O8gAAOSwPIJfDcL0/$_2.JPG
7,"
                            Newly renovated bachelor basement at Bathurst and Sheppard! 
                        ","M3H 4A7, Canada",Basement,1400.0,Bachelor/Studio,1,43.7590948,-79.44735829999999,1.0,1.0,1.0,1.0,0.0,1,0.0,450,0.0,1.0,35,59,43,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/UtAAAOSwIAlfDcQr/$_27.JPG,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/K5wAAOSwD6lfDcQt/$_2.JPG,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/g-oAAOSwQyBfDcQu/$_2.JPG
8,"
                            Yonge and Eglinton, 63 Roehampton, Bach suite
                        ","63 Roehampton Avenue, Toronto, ON, M4P 1R1",Apartment,1525.0,1,1,43.7081182,-79.396487,0.0,0.0,1.0,1.0,0.0,0,0.0,380,0.0,1.0,96,91,70,https://i.ebayimg.com/00/s/MzM1WDUwMA==/z/hScAAOSw0~de4aD4/$_27.JPG,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/z6YAAOSwUjJe4aEA/$_2.JPG,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/~MUAAOSwOPVe4aEA/$_2.JPG
9,"
                            Room for rent on 3rd floor,15 mins to Victoria Park station
                        ","1481 Kingston Rd, Scarborough, ON M1N 1R5, Canada",Apartment,650.0,2.5,1,43.6884433,-79.2694973,1.0,1.0,1.0,1.0,1.0,0,0.0,128,1.0,0.0,39,65,63,https://i.ebayimg.com/00/s/MzAwWDgwMA==/z/OYkAAOSwKLdfDcKc/$_27.JPG,https://i.ebayimg.com/00/s/MzkwWDgwMA==/z/1VoAAOSwDlxfDcKm/$_2.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/uLYAAOSwr0tfDcK0/$_2.JPG
10,"
                            41 Dundonald Street - 0 Bedroom, 1 Bathroom for Rent
                        ","41 Dundonald Street, Toronto, ON, M4Y 1K6",Apartment,1830.0,Bachelor/Studio,1,43.666207,-79.3822783,0.0,1.0,1.0,0.0,0.0,0,0.0,399,0.0,0.0,98,90,75,https://i.ebayimg.com/00/s/NzY4WDExNTI=/z/HDcAAOSwxIVe9zkn/$_27.JPG,https://i.ebayimg.com/00/s/NzY4WDExNTI=/z/ONIAAOSw7qFe9zkk/$_2.JPG,https://i.ebayimg.com/00/s/NzY4WDExNTI=/z/YPsAAOSwuSZe9zkn/$_2.JPG
11,"
                            Garden View Apartments - 1 Bedroom, 1 Bathroom for Rent
                        ","321 Sherbourne Street, Toronto, ON, M5A 2S4",Apartment,1729.0,1,1,43.6618848,-79.3722284,0.0,1.0,1.0,1.0,1.0,0,0.0,603,0.0,0.0,93,89,99,https://i.ebayimg.com/00/s/Njk1WDEwNDM=/z/HnMAAOSw0Yxe9ze0/$_27.JPG,https://i.ebayimg.com/00/s/NzY4WDExNTI=/z/FboAAOSwb65e9ze1/$_2.JPG,https://i.ebayimg.com/00/s/NzY4WDExNTI=/z/GtQAAOSwxIVe9ze0/$_2.JPG
12,"
                            Upgraded Bachelor For Rent w/ In-Suite Laundry - Liberty Village
                        ","200 Dufferin Street, Toronto, ON, M6K 1Z4",Apartment,1719.0,Bachelor/Studio,1,43.63633129999999,-79.4263436,0.0,1.0,1.0,1.0,1.0,0,1.0,370,0.0,0.0,79,90,78,https://i.ebayimg.com/00/s/MzQwWDUwOQ==/z/slYAAOSwqhtfANoj/$_27.JPG,https://i.ebayimg.com/00/s/MzQwWDUwOQ==/z/pKwAAOSwq1tfANoj/$_2.JPG,https://i.ebayimg.com/00/s/MzQwWDUwOQ==/z/6jgAAOSwpABfANoj/$_2.JPG
13,"
                            Large 2 Bedroom+Den - 860 Sq Ft. -  Yonge/Wellesley - Call Now
                        ","42 Maitland Street, Toronto, ON, M4Y 1C5",Apartment,2049.0,2,1,43.6646283,-79.3823704,0.0,1.0,1.0,1.0,0.0,0,0.0,686,0.0,0.0,98,92,75,https://i.ebayimg.com/00/s/NzY4WDExNjA=/z/ZgUAAOSw~7le9zed/$_27.JPG,https://i.ebayimg.com/00/s/NjY2WDEwMDA=/z/~D4AAOSwJmJe9zeZ/$_2.JPG,https://i.ebayimg.com/00/s/NjY2WDEwMDA=/z/Q3oAAOSwFwRe9zeb/$_2.JPG
14,"
                            Gowan Court - 1 Bedroom, 1 Bathroom for Rent
                        ","80 Gowan Avenue, Toronto, ON, M4K 2E1",Apartment,1789.0,1,1,43.6881682,-79.35157199999999,0.0,1.0,1.0,0.0,0.0,0,0.0,410,0.0,0.0,77,69,63,https://i.ebayimg.com/00/s/NzY4WDgyOA==/z/7HsAAOSwDNle60iX/$_27.JPG,https://i.ebayimg.com/00/s/NzY4WDExNTA=/z/JQEAAOSwOWBe60iY/$_2.JPG,https://i.ebayimg.com/00/s/NzY4WDExNTI=/z/NpMAAOSwKx9e60iX/$_2.JPG
15,"
                            165 Bathurst - 0 Bedroom, 1 Bathroom for Rent
                        ","165 Bathurst Street, Toronto, ON, M5V 3C2",Apartment,1859.0,1,1,43.6464884,-79.4037141,1.0,1.0,1.0,1.0,0.0,0,0.0,450,0.0,0.0,98,96,99,https://i.ebayimg.com/00/s/NzY4WDExNTI=/z/0BsAAOSwXbhe9ze9/$_27.JPG,https://i.ebayimg.com/00/s/NzY4WDExNTI=/z/VdAAAOSwJp1e9ze-/$_2.JPG,https://i.ebayimg.com/00/s/NzY4WDExNTI=/z/C-gAAOSwEQ5e9ze8/$_2.JPG
16,"
                            Renovated Bachelor For Rent - Forest Hill -
                        ","4 Latimer Avenue, Toronto, ON, M5N 2L9",Apartment,1639.0,Bachelor/Studio,1,43.7031261,-79.4160184,0.0,1.0,1.0,1.0,0.0,0,0.0,340,0.0,0.0,85,72,62,https://i.ebayimg.com/00/s/NzY4WDExNTI=/z/IS0AAOSwjBde9ze3/$_27.JPG,https://i.ebayimg.com/00/s/NzY4WDExNTI=/z/DcAAAOSw5KVe9ze8/$_2.JPG,https://i.ebayimg.com/00/s/NzY4WDExNTI=/z/GagAAOSwocFe9ze3/$_2.JPG
