,title,ad_url,address,unit_type,price,bedrooms,bathrooms,apartment_lat,apartment_lon,hydro_included,heat_included,water_included,laundry_included,backyard_included,parking_included,gym_included,sqft,furnished,air_conditioning,walk_score,transit_score,bike_score,img_1,"img_2""",img_3
0,"
                            APPROVING HONEST TENANTS WITH LOW CREDIT
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/approving-honest-tenants-with-low-credit/1513006010?null&siteLocale=en_CA,", North York M3L 1S3 ON, Canada",Apartment,2089.0,1,1,43.7403237,-79.5130933,0.0,1.0,1.0,1.0,1.0,1,1.0,706,0.0,1.0,47,63,49,,,
1,"
                            APPLY AND RENT WITH A LOW CREDIT SCORE
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/apply-and-rent-with-a-low-credit-score/1513005553?null&siteLocale=en_CA,", Mississauga L4W 2M5 ON, Canada",Apartment,2097.0,1,1,43.6331406,-79.60160239999999,0.0,1.0,1.0,1.0,1.0,1,1.0,715,1.0,1.0,49,52,48,,,
2,"
                            APPLICATIONS APPROVED WITH LOW CREDIT
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/applications-approved-with-low-credit/1513005234?null&siteLocale=en_CA,", Etobicoke M9W 2H7 ON, Canada",Apartment,2055.0,1,1,43.7223274,-79.55560249999999,0.0,1.0,1.0,1.0,1.0,1,1.0,705,0.0,1.0,58,60,55,,,
3,"
                            ACCEPTING GOOD TENANTS WITH LOW CREDIT
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/accepting-good-tenants-with-low-credit/1513004034?null&siteLocale=en_CA,", Scarborough M1K 1J6 ON, Canada",Apartment,2075.0,1,1,43.7349476,-79.24784609999999,0.0,1.0,1.0,1.0,1.0,1,1.0,700,1.0,1.0,58,84,54,,,
4,"
                            TWO BEDROOM APARTMENT NEAR KEELE AND SHEPPARD 
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/two-bedroom-apartment-near-keele-and-sheppard/1512999787?null&siteLocale=en_CA,"M3M2H2, Canada",Apartment,1650.0,2,1,43.7354832,-79.4848014,0.0,1.0,1.0,1.0,0.0,1,0.0,700,0.0,0.0,42,63,46,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/bHEAAOSwyJFfE673/$_27.JPG,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/V8sAAOSwSv1fE676/$_2.JPG,https://i.ebayimg.com/00/s/MTYwMFgxNDgw/z/6rIAAOSwA75fE67-/$_2.JPG
5,"
                            Yonge_Steeles Furnish Basement Room North York 24 HR Buses VIVA
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/yonge_steeles-furnish-basement-room-north-york-24-hr-buses-viva/1512995914?null&siteLocale=en_CA,", toronto m2m3x9 ON, Canada",Apartment,689.0,1,1,43.7975635,-79.4196618,1.0,1.0,1.0,1.0,0.0,0,0.0,577,1.0,1.0,77,75,50,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/NZwAAOSwCx1fE6bx/$_27.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/gSoAAOSw3t5fE6b4/$_2.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/-CYAAOSwJWtfE6cA/$_2.JPG
6,"
                            Residences on Bloor - One Bedroom Apartment for Rent
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/residences-on-bloor-one-bedroom-apartment-for-rent/1507482349?null&siteLocale=en_CA,"235 Bloor Street East, Toronto, ON, M4W 3Y3",Apartment,1753.0,1,1,43.671323,-79.380831,0.0,1.0,1.0,1.0,0.0,0,1.0,470,0.0,1.0,97,90,97,https://i.ebayimg.com/00/s/NzY4WDExNTI=/z/bnMAAOSwBAFe7QyA/$_27.JPG,https://i.ebayimg.com/00/s/NTM4WDEwMjQ=/z/9rkAAOSwj3Ne7Qx~/$_2.JPG,https://i.ebayimg.com/00/s/NzY4WDExNTI=/z/CJ8AAOSwXxpe7Qx~/$_2.JPG
7,"
                            Renovated bachelor unit, Church and Wellesley
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/renovated-bachelor-unit-church-and-wellesley/1507399168?null&siteLocale=en_CA,"54/56 Maitland Street, Toronto, ON, M4Y 1C9",Apartment,1400.0,1,1,43.64856,-79.38533,0.0,1.0,1.0,1.0,0.0,0,0.0,303,0.0,0.0,99,10,94,https://i.ebayimg.com/00/s/MTA2N1gxNjAw/z/IuwAAOSwCi5e7IBI/$_27.JPG,https://i.ebayimg.com/00/s/MTA2N1gxNjAw/z/KV8AAOSw0sVe7IBK/$_2.JPG,https://i.ebayimg.com/00/s/MTA2N1gxNjAw/z/UiMAAOSwtVde7IBK/$_2.JPG
8,"
                            Renovated bachelor unit, Church and Wellesley
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/renovated-bachelor-unit-church-and-wellesley/1507399167?null&siteLocale=en_CA,"54/56 Maitland Street, Toronto, ON, M4Y 1C9",Apartment,1500.0,1,1,43.64856,-79.38533,0.0,1.0,1.0,1.0,0.0,0,0.0,260,0.0,0.0,99,10,94,https://i.ebayimg.com/00/s/MTA2N1gxNjAw/z/EGsAAOSw40Ve7IBK/$_27.JPG,https://i.ebayimg.com/00/s/MTA2N1gxNjAw/z/KXIAAOSw-2xe7IBJ/$_2.JPG,https://i.ebayimg.com/00/s/MTA2N1gxNjAw/z/RvQAAOSwVSte7IBI/$_2.JPG
9,"
                            At St. Clair & Dufferin St. RNVTD 2 Bedrm 2nd Flr Apt With Deck
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/at-st-clair-dufferin-st-rnvtd-2-bedrm-2nd-flr-apt-with-deck/1507611136?null&siteLocale=en_CA,"148 Glenholme Ave, York, ON M6E 3C4, Canada",Apartment,1998.0,2,1,43.6801249,-79.43939089999999,0.0,0.0,1.0,1.0,1.0,1,0.0,700,0.0,1.0,86,79,74,http://img.youtube.com/vi/FUfUAW59K9s/0.jpg,https://i.ebayimg.com/00/s/NjQwWDQ4MA==/z/6NcAAOSwaspe7h8~/$_2.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/-CgAAOSwXmFe7h9m/$_2.JPG
